# Calculated quadratic coefficient for RF in the Liverpool trap
# generated by: micromotion_estimate.m
# Z(m)            a(V/m^2)
 -1.5050000e-003  4.0570683e+004
 -1.4749000e-003  3.8587574e+004
 -1.4448000e-003  3.6622005e+004
 -1.4147000e-003  3.4295353e+004
 -1.3846000e-003  3.2289743e+004
 -1.3545000e-003  2.9909488e+004
 -1.3244000e-003  2.7873144e+004
 -1.2943000e-003  2.5666829e+004
 -1.2642000e-003  2.3733796e+004
 -1.2341000e-003  2.1589020e+004
 -1.2040000e-003  1.9762544e+004
 -1.1739000e-003  1.8499371e+004
 -1.1438000e-003  1.7257263e+004
 -1.1137000e-003  1.6341753e+004
 -1.0836000e-003  1.5480351e+004
 -1.0535000e-003  1.4938548e+004
 -1.0234000e-003  1.4730989e+004
 -9.9330000e-004  1.4742099e+004
 -9.6320000e-004  1.4747870e+004
 -9.3310000e-004  1.4756455e+004
 -9.0300000e-004  1.4810924e+004
 -8.7290000e-004  1.4894035e+004
 -8.4280000e-004  1.5011990e+004
 -8.1270000e-004  1.5041858e+004
 -7.8260000e-004  1.4891654e+004
 -7.5250000e-004  1.4541466e+004
 -7.2240000e-004  1.4018420e+004
 -6.9230000e-004  1.3356929e+004
 -6.6220000e-004  1.2420064e+004
 -6.3210000e-004  1.1559744e+004
 -6.0200000e-004  1.0506727e+004
 -5.7190000e-004  9.4199459e+003
 -5.4180000e-004  8.5001068e+003
 -5.1170000e-004  7.4143359e+003
 -4.8160000e-004  6.4658556e+003
 -4.5150000e-004  5.5977439e+003
 -4.2140000e-004  5.1653835e+003
 -3.9130000e-004  4.7735681e+003
 -3.6120000e-004  4.5778408e+003
 -3.3110000e-004  4.5938568e+003
 -3.0100000e-004  4.7424739e+003
 -2.7090000e-004  5.1932311e+003
 -2.4080000e-004  5.7853189e+003
 -2.1070000e-004  6.4062644e+003
 -1.8060000e-004  6.9720196e+003
 -1.5050000e-004  7.6419510e+003
 -1.2040000e-004  8.2074897e+003
 -9.0300000e-005  8.7223110e+003
 -6.0200000e-005  9.1841063e+003
 -3.0100000e-005  9.5104147e+003
  0.0000000e+000  9.6169319e+003
  3.0100000e-005  9.5104147e+003
  6.0200000e-005  9.1841063e+003
  9.0300000e-005  8.7223110e+003
  1.2040000e-004  8.2074897e+003
  1.5050000e-004  7.6419510e+003
  1.8060000e-004  6.9720196e+003
  2.1070000e-004  6.4062644e+003
  2.4080000e-004  5.7853189e+003
  2.7090000e-004  5.1932311e+003
  3.0100000e-004  4.7424739e+003
  3.3110000e-004  4.5938568e+003
  3.6120000e-004  4.5778408e+003
  3.9130000e-004  4.7735681e+003
  4.2140000e-004  5.1653835e+003
  4.5150000e-004  5.5977439e+003
  4.8160000e-004  6.4658556e+003
  5.1170000e-004  7.4143359e+003
  5.4180000e-004  8.5001068e+003
  5.7190000e-004  9.4199459e+003
  6.0200000e-004  1.0506727e+004
  6.3210000e-004  1.1559744e+004
  6.6220000e-004  1.2420064e+004
  6.9230000e-004  1.3356929e+004
  7.2240000e-004  1.4018420e+004
  7.5250000e-004  1.4541466e+004
  7.8260000e-004  1.4891654e+004
  8.1270000e-004  1.5041858e+004
  8.4280000e-004  1.5011990e+004
  8.7290000e-004  1.4894035e+004
  9.0300000e-004  1.4810924e+004
  9.3310000e-004  1.4756455e+004
  9.6320000e-004  1.4747870e+004
  9.9330000e-004  1.4742099e+004
  1.0234000e-003  1.4730989e+004
  1.0535000e-003  1.4938548e+004
  1.0836000e-003  1.5480351e+004
  1.1137000e-003  1.6341753e+004
  1.1438000e-003  1.7257263e+004
  1.1739000e-003  1.8499371e+004
  1.2040000e-003  1.9762544e+004
  1.2341000e-003  2.1589020e+004
  1.2642000e-003  2.3733796e+004
  1.2943000e-003  2.5666829e+004
  1.3244000e-003  2.7873144e+004
  1.3545000e-003  2.9909488e+004
  1.3846000e-003  3.2289743e+004
  1.4147000e-003  3.4295353e+004
  1.4448000e-003  3.6622005e+004
  1.4749000e-003  3.8587574e+004
  1.5050000e-003  4.0570683e+004
