# Estimated micromotion max velocity in liverpool trap
# generated by: micromotion_estimate.m
# wDC = 2pi*300kHz, VRF = 200V, OmRF = 2pi*5.92MHz 
# estimated trapping position using pseudopotential
# Zta(m)            Vmax(m/s)
 -1.4313789e-003  4.9060379e+002
 -1.4077716e-003  4.7065599e+002
 -1.3837764e-003  4.5113048e+002
 -1.3598608e-003  4.3327000e+002
 -1.3351536e-003  4.1522132e+002
 -1.3105449e-003  3.9881706e+002
 -1.2851477e-003  3.8244022e+002
 -1.2596097e-003  3.6733066e+002
 -1.2334272e-003  3.5262732e+002
 -1.2071942e-003  3.3920098e+002
 -1.1803291e-003  3.2620810e+002
 -1.1526276e-003  3.1330994e+002
 -1.1247309e-003  3.0120417e+002
 -1.0963547e-003  2.8941760e+002
 -1.0678156e-003  2.7811229e+002
 -1.0388826e-003  2.6694205e+002
 -1.0095894e-003  2.5578191e+002
 -9.8008518e-004  2.4456153e+002
 -9.5058564e-004  2.3335722e+002
 -9.2108457e-004  2.2214736e+002
 -8.9155340e-004  2.1084817e+002
 -8.6200894e-004  1.9948976e+002
 -8.3244993e-004  1.8808318e+002
 -8.0295850e-004  1.7667088e+002
 -7.7357071e-004  1.6541470e+002
 -7.4426932e-004  1.5443444e+002
 -7.1501130e-004  1.4383515e+002
 -6.8575783e-004  1.3369406e+002
 -6.5655040e-004  1.2420316e+002
 -6.2721863e-004  1.1533551e+002
 -5.9787940e-004  1.0715740e+002
 -5.6846398e-004  9.9701490e+001
 -5.3890940e-004  9.2981627e+001
 -5.0934200e-004  8.6990311e+001
 -4.7966901e-004  8.1714174e+001
 -4.4992340e-004  7.7087271e+001
 -4.2002490e-004  7.2873837e+001
 -3.9009625e-004  6.9038507e+001
 -3.6010650e-004  6.5401424e+001
 -3.3006298e-004  6.1806795e+001
 -2.9999380e-004  5.8087679e+001
 -2.6987226e-004  5.4172542e+001
 -2.3974608e-004  4.9856846e+001
 -2.0964462e-004  4.5077209e+001
 -1.7958403e-004  3.9864563e+001
 -1.4954581e-004  3.4150257e+001
 -1.1956009e-004  2.7983376e+001
 -8.9616229e-005  2.1432829e+001
 -5.9712283e-005  1.4516493e+001
 -2.9845568e-005  7.3122966e+000
 -1.6986605e-020  4.8276384e-013
  2.9845568e-005  7.3122966e+000
  5.9712283e-005  1.4516493e+001
  8.9616229e-005  2.1432829e+001
  1.1956009e-004  2.7983376e+001
  1.4954581e-004  3.4150257e+001
  1.7958403e-004  3.9864563e+001
  2.0964462e-004  4.5077209e+001
  2.3974608e-004  4.9856846e+001
  2.6987226e-004  5.4172542e+001
  2.9999380e-004  5.8087679e+001
  3.3006298e-004  6.1806795e+001
  3.6010650e-004  6.5401424e+001
  3.9009625e-004  6.9038507e+001
  4.2002490e-004  7.2873837e+001
  4.4992340e-004  7.7087271e+001
  4.7966901e-004  8.1714174e+001
  5.0934200e-004  8.6990311e+001
  5.3890940e-004  9.2981627e+001
  5.6846398e-004  9.9701490e+001
  5.9787940e-004  1.0715740e+002
  6.2721863e-004  1.1533551e+002
  6.5655040e-004  1.2420316e+002
  6.8575783e-004  1.3369406e+002
  7.1501130e-004  1.4383515e+002
  7.4426932e-004  1.5443444e+002
  7.7357071e-004  1.6541470e+002
  8.0295850e-004  1.7667088e+002
  8.3244993e-004  1.8808318e+002
  8.6200894e-004  1.9948976e+002
  8.9155340e-004  2.1084817e+002
  9.2108457e-004  2.2214736e+002
  9.5058564e-004  2.3335722e+002
  9.8008518e-004  2.4456153e+002
  1.0095894e-003  2.5578191e+002
  1.0388826e-003  2.6694205e+002
  1.0678156e-003  2.7811229e+002
  1.0963547e-003  2.8941760e+002
  1.1247309e-003  3.0120417e+002
  1.1526276e-003  3.1330994e+002
  1.1803291e-003  3.2620810e+002
  1.2071942e-003  3.3920098e+002
  1.2334272e-003  3.5262732e+002
  1.2596097e-003  3.6733066e+002
  1.2851477e-003  3.8244022e+002
  1.3105449e-003  3.9881706e+002
  1.3351536e-003  4.1522132e+002
  1.3598608e-003  4.3327000e+002
  1.3837764e-003  4.5113048e+002
  1.4077716e-003  4.7065599e+002
  1.4313789e-003  4.9060379e+002
