# Rf minimum position in the X direction (across the trap)
# using calculatestuff.m
# Position Z (m)   Design m. position (m)   Twisted RF m. position (m)
  -1.6000000e-03  -1.6122715e-19  -7.6855524e-07
  -1.5893333e-03   8.4649303e-20  -7.6720334e-07
  -1.5786667e-03  -7.6844207e-20  -7.6136069e-07
  -1.5680000e-03  -7.5325891e-20  -7.5741884e-07
  -1.5573333e-03  -7.3841367e-20  -7.5309375e-07
  -1.5466667e-03  -3.6059888e-19  -7.4837051e-07
  -1.5360000e-03   5.2906879e-20  -7.4891306e-07
  -1.5253333e-03   5.4647032e-20  -7.4141824e-07
  -1.5146667e-03  -2.7565862e-19  -7.3707636e-07
  -1.5040000e-03  -2.7477441e-19  -7.3271927e-07
  -1.4933333e-03   1.8011012e-20  -7.2926607e-07
  -1.4826667e-03   1.4503026e-19  -7.2802265e-07
  -1.4720000e-03   1.0496796e-19  -7.2210274e-07
  -1.4613333e-03  -1.0362804e-19  -7.2143084e-07
  -1.4506667e-03  -3.1338608e-19  -7.1725192e-07
  -1.4400000e-03  -1.0140439e-19  -7.1480804e-07
  -1.4293333e-03  -1.8526081e-19  -7.0902116e-07
  -1.4186667e-03  -5.6768934e-20  -7.0858397e-07
  -1.4080000e-03  -5.5624135e-20  -6.9990106e-07
  -1.3973333e-03  -5.4503224e-20  -6.9728896e-07
  -1.3866667e-03  -1.0382908e-20  -6.9416409e-07
  -1.3760000e-03  -3.5448123e-19  -6.9487914e-07
  -1.3653333e-03  -2.2449918e-19  -6.8676987e-07
  -1.3546667e-03  -3.9797679e-19  -6.8643972e-07
  -1.3440000e-03   1.2529932e-19  -6.7834682e-07
  -1.3333333e-03   1.2692002e-19  -6.7506494e-07
  -1.3226667e-03  -2.6673532e-19  -6.7356032e-07
  -1.3120000e-03  -4.6156590e-20  -6.6593148e-07
  -1.3013333e-03  -2.6628308e-19  -6.6602321e-07
  -1.2906667e-03  -1.7734121e-19  -6.5831358e-07
  -1.2800000e-03  -2.6582738e-19  -6.5451360e-07
  -1.2693333e-03   2.3632241e-21  -6.5036951e-07
  -1.2586667e-03   1.8271810e-19  -6.4878840e-07
  -1.2480000e-03  -4.0436388e-20  -6.4470591e-07
  -1.2373333e-03  -8.4603610e-20  -6.3808908e-07
  -1.2266667e-03  -8.3817108e-20  -6.3419860e-07
  -1.2160000e-03  -3.0963527e-19  -6.2814774e-07
  -1.2053333e-03  -8.2259208e-20  -6.2491489e-07
  -1.1946667e-03  -4.0050253e-19  -6.2121015e-07
  -1.1840000e-03  -8.0709985e-20  -6.1365360e-07
  -1.1733333e-03  -3.5491196e-19  -6.0997607e-07
  -1.1626667e-03  -3.5480886e-19  -6.0020526e-07
  -1.1520000e-03  -1.7050579e-19  -5.9637900e-07
  -1.1413333e-03  -3.1572077e-20  -5.8875316e-07
  -1.1306667e-03  -7.6944189e-20  -5.8531446e-07
  -1.1200000e-03  -2.9881478e-20  -5.7780983e-07
  -1.1093333e-03  -1.2175921e-19  -5.6929764e-07
  -1.0986667e-03  -3.5324943e-19  -5.6086723e-07
  -1.0880000e-03  -1.6681982e-19  -5.5926932e-07
  -1.0773333e-03  -4.4542996e-19  -5.5159723e-07
  -1.0666667e-03  -3.0515900e-19  -5.4407045e-07
  -1.0560000e-03  -7.1543860e-20  -5.3412011e-07
  -1.0453333e-03   1.6246351e-19  -5.2931731e-07
  -1.0346667e-03  -7.0047196e-20  -5.2188620e-07
  -1.0240000e-03  -3.4965869e-19  -5.1568600e-07
  -1.0133333e-03  -6.8550962e-20  -5.0538347e-07
  -1.0026667e-03  -1.6139650e-19  -5.0102618e-07
  -9.9200000e-04  -2.0749800e-19  -4.9231618e-07
  -9.8133333e-04  -3.4723890e-19  -4.8290091e-07
  -9.7066667e-04  -1.5925463e-19  -4.7252881e-07
  -9.6000000e-04  -2.5226372e-19  -4.6946260e-07
  -9.4933333e-04  -1.5785623e-19  -4.6003078e-07
  -9.3866667e-04  -3.9124937e-19  -4.5124139e-07
