# Rf minimum position in the Y direction (perpendicular to the trap)
# using calculatestuff.m
# Position Z (m)   Design m. position (m)   Twisted RF m. position (m)
  -1.6000000e-03   1.2347834e-05   1.5517837e-05
  -1.5893333e-03   1.2347163e-05   1.5499062e-05
  -1.5786667e-03   1.2343090e-05   1.5484407e-05
  -1.5680000e-03   1.2347209e-05   1.5460700e-05
  -1.5573333e-03   1.2349745e-05   1.5446851e-05
  -1.5466667e-03   1.2351867e-05   1.5422030e-05
  -1.5360000e-03   1.2350154e-05   1.5395263e-05
  -1.5253333e-03   1.2348303e-05   1.5373247e-05
  -1.5146667e-03   1.2354109e-05   1.5349327e-05
  -1.5040000e-03   1.2347705e-05   1.5329894e-05
  -1.4933333e-03   1.2361526e-05   1.5304314e-05
  -1.4826667e-03   1.2364222e-05   1.5287041e-05
  -1.4720000e-03   1.2361949e-05   1.5270153e-05
  -1.4613333e-03   1.2367917e-05   1.5251595e-05
  -1.4506667e-03   1.2369831e-05   1.5230118e-05
  -1.4400000e-03   1.2369701e-05   1.5207458e-05
  -1.4293333e-03   1.2373059e-05   1.5174447e-05
  -1.4186667e-03   1.2376119e-05   1.5153272e-05
  -1.4080000e-03   1.2382649e-05   1.5134524e-05
  -1.3973333e-03   1.2386167e-05   1.5120833e-05
  -1.3866667e-03   1.2393184e-05   1.5098877e-05
  -1.3760000e-03   1.2398913e-05   1.5073925e-05
  -1.3653333e-03   1.2408766e-05   1.5055263e-05
  -1.3546667e-03   1.2411867e-05   1.5034015e-05
  -1.3440000e-03   1.2413540e-05   1.5012561e-05
  -1.3333333e-03   1.2417070e-05   1.4997607e-05
  -1.3226667e-03   1.2416981e-05   1.4972641e-05
  -1.3120000e-03   1.2425121e-05   1.4945109e-05
  -1.3013333e-03   1.2432545e-05   1.4934466e-05
  -1.2906667e-03   1.2438391e-05   1.4909408e-05
  -1.2800000e-03   1.2442372e-05   1.4889035e-05
  -1.2693333e-03   1.2449592e-05   1.4861129e-05
  -1.2586667e-03   1.2451116e-05   1.4842933e-05
  -1.2480000e-03   1.2451869e-05   1.4817134e-05
  -1.2373333e-03   1.2460695e-05   1.4793245e-05
  -1.2266667e-03   1.2461590e-05   1.4769493e-05
  -1.2160000e-03   1.2467915e-05   1.4745000e-05
  -1.2053333e-03   1.2474627e-05   1.4717212e-05
  -1.1946667e-03   1.2477494e-05   1.4688867e-05
  -1.1840000e-03   1.2481726e-05   1.4677203e-05
  -1.1733333e-03   1.2487593e-05   1.4649221e-05
  -1.1626667e-03   1.2486874e-05   1.4620255e-05
  -1.1520000e-03   1.2488284e-05   1.4593304e-05
  -1.1413333e-03   1.2491046e-05   1.4560608e-05
