# From calculatestuff.m
#  DC trapping (mm)   DC+RF trapping pos (mm)
  -1.6000000e-03  -1.3121169e-03
  -1.5893333e-03  -1.3090889e-03
  -1.5786667e-03  -1.3060366e-03
  -1.5680000e-03  -1.3032816e-03
  -1.5573333e-03  -1.3009025e-03
  -1.5466667e-03  -1.2986335e-03
  -1.5360000e-03  -1.2953285e-03
  -1.5253333e-03  -1.2928718e-03
  -1.5146667e-03  -1.2905258e-03
  -1.5040000e-03  -1.2871921e-03
  -1.4933333e-03  -1.2836986e-03
  -1.4826667e-03  -1.2802122e-03
  -1.4720000e-03  -1.2769994e-03
  -1.4613333e-03  -1.2737060e-03
  -1.4506667e-03  -1.2705209e-03
  -1.4400000e-03  -1.2676588e-03
  -1.4293333e-03  -1.2647770e-03
  -1.4186667e-03  -1.2620474e-03
  -1.4080000e-03  -1.2592534e-03
  -1.3973333e-03  -1.2567493e-03
  -1.3866667e-03  -1.2539437e-03
  -1.3760000e-03  -1.2513547e-03
  -1.3653333e-03  -1.2488496e-03
  -1.3546667e-03  -1.2459911e-03
  -1.3440000e-03  -1.2428035e-03
  -1.3333333e-03  -1.2395128e-03
  -1.3226667e-03  -1.2352140e-03
  -1.3120000e-03  -1.2307111e-03
  -1.3013333e-03  -1.2258324e-03
  -1.2906667e-03  -1.2205493e-03
  -1.2800000e-03  -1.2144759e-03
  -1.2693333e-03  -1.2083067e-03
  -1.2586667e-03  -1.2022729e-03
  -1.2480000e-03  -1.1960442e-03
  -1.2373333e-03  -1.1897435e-03
  -1.2266667e-03  -1.1833197e-03
  -1.2160000e-03  -1.1765552e-03
  -1.2053333e-03  -1.1695541e-03
  -1.1946667e-03  -1.1623338e-03
  -1.1840000e-03  -1.1550004e-03
  -1.1733333e-03  -1.1471792e-03
  -1.1626667e-03  -1.1389517e-03
  -1.1520000e-03  -1.1308410e-03
  -1.1413333e-03  -1.1223001e-03
  -1.1306667e-03  -1.1132302e-03
  -1.1200000e-03  -1.1038438e-03
  -1.1093333e-03  -1.0942582e-03
  -1.0986667e-03  -1.0842452e-03
  -1.0880000e-03  -1.0741985e-03
  -1.0773333e-03  -1.0641515e-03
  -1.0666667e-03  -1.0539156e-03
  -1.0560000e-03  -1.0436466e-03
  -1.0453333e-03  -1.0332269e-03
  -1.0346667e-03  -1.0227495e-03
  -1.0240000e-03  -1.0122300e-03
  -1.0133333e-03  -1.0017157e-03
  -1.0026667e-03  -9.9105921e-04
  -9.9200000e-04  -9.8062127e-04
  -9.8133333e-04  -9.7014991e-04
  -9.7066667e-04  -9.5964358e-04
  -9.6000000e-04  -9.4915605e-04
  -9.4933333e-04  -9.3833211e-04
  -9.3866667e-04  -9.2763083e-04
  -9.2800000e-04  -9.1686949e-04
  -9.1733333e-04  -9.0599370e-04
  -9.0666667e-04  -8.9504672e-04
  -8.9600000e-04  -8.8409380e-04
  -8.8533333e-04  -8.7314714e-04
  -8.7466667e-04  -8.6225759e-04
  -8.6400000e-04  -8.5138962e-04
  -8.5333333e-04  -8.4058598e-04
  -8.4266667e-04  -8.2981254e-04
  -8.3200000e-04  -8.1919675e-04
  -8.2133333e-04  -8.0862363e-04
  -8.1066667e-04  -7.9802559e-04
  -8.0000000e-04  -7.8761343e-04
  -7.8933333e-04  -7.7714896e-04
  -7.7866667e-04  -7.6677428e-04
  -7.6800000e-04  -7.5654021e-04
  -7.5733333e-04  -7.4624141e-04
  -7.4666667e-04  -7.3593874e-04
  -7.3600000e-04  -7.2571191e-04
  -7.2533333e-04  -7.1536126e-04
  -7.1466667e-04  -7.0510989e-04
  -7.0400000e-04  -6.9496896e-04
  -6.9333333e-04  -6.8481960e-04
  -6.8266667e-04  -6.7470919e-04
  -6.7200000e-04  -6.6467254e-04
  -6.6133333e-04  -6.5465845e-04
  -6.5066667e-04  -6.4468457e-04
  -6.4000000e-04  -6.3462885e-04
  -6.2933333e-04  -6.2462005e-04
  -6.1866667e-04  -6.1464376e-04
  -6.0800000e-04  -6.0453718e-04
  -5.9733333e-04  -5.9445935e-04
  -5.8666667e-04  -5.8433981e-04
  -5.7600000e-04  -5.7417002e-04
  -5.6533333e-04  -5.6387820e-04
  -5.5466667e-04  -5.5357347e-04
  -5.4400000e-04  -5.4327425e-04
  -5.3333333e-04  -5.3286955e-04
  -5.2266667e-04  -5.2243000e-04
  -5.1200000e-04  -5.1198930e-04
  -5.0133333e-04  -5.0153274e-04
  -4.9066667e-04  -4.9105314e-04
  -4.8000000e-04  -4.8054898e-04
  -4.6933333e-04  -4.7002450e-04
  -4.5866667e-04  -4.5947473e-04
  -4.4800000e-04  -4.4890110e-04
  -4.3733333e-04  -4.3830577e-04
  -4.2666667e-04  -4.2769204e-04
  -4.1600000e-04  -4.1706077e-04
  -4.0533333e-04  -4.0642180e-04
  -3.9466667e-04  -3.9577380e-04
  -3.8400000e-04  -3.8511437e-04
  -3.7333333e-04  -3.7444855e-04
  -3.6266667e-04  -3.6378192e-04
  -3.5200000e-04  -3.5311358e-04
  -3.4133333e-04  -3.4244471e-04
  -3.3066667e-04  -3.3177635e-04
  -3.2000000e-04  -3.2110653e-04
  -3.0933333e-04  -3.1043522e-04
  -2.9866667e-04  -2.9976307e-04
  -2.8800000e-04  -2.8908978e-04
  -2.7733333e-04  -2.7841574e-04
  -2.6666667e-04  -2.6773829e-04
  -2.5600000e-04  -2.5706037e-04
  -2.4533333e-04  -2.4638127e-04
  -2.3466667e-04  -2.3570577e-04
  -2.2400000e-04  -2.2502522e-04
  -2.1333333e-04  -2.1434492e-04
  -2.0266667e-04  -2.0366140e-04
  -1.9200000e-04  -1.9297427e-04
  -1.8133333e-04  -1.8228603e-04
